               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.057728,            0.021568,           0.0023354,             0.68978,             0.79924,               0.774,             0.39202,            0.052248,            0.014335,           0.0026813,           0.0099663,           0.0099663,           0.0099663
                  36,            0.053454,            0.017732,           0.0024095,             0.70808,             0.81439,             0.70143,             0.40114,            0.061894,            0.014673,            0.003027,           0.0099654,           0.0099654,           0.0099654
                  37,            0.058138,            0.023192,           0.0021029,             0.60626,             0.72348,             0.70663,             0.41632,            0.052788,            0.014928,           0.0031389,           0.0099644,           0.0099644,           0.0099644
                  38,            0.053171,            0.027697,            0.001999,             0.77017,             0.73313,              0.7622,             0.42932,            0.054518,            0.014731,            0.002887,           0.0099634,           0.0099634,           0.0099634
                  39,            0.060133,             0.02172,           0.0017264,             0.83463,             0.76894,             0.79844,              0.4125,            0.056176,            0.014499,           0.0027851,           0.0099624,           0.0099624,           0.0099624
                  40,            0.055692,            0.018628,           0.0019339,             0.67546,             0.76896,             0.69764,             0.40923,            0.052333,             0.01458,           0.0026885,           0.0099614,           0.0099614,           0.0099614
                  41,            0.053056,            0.018899,           0.0022582,             0.86266,             0.82955,             0.83072,              0.5436,            0.046228,            0.014442,           0.0028606,           0.0099604,           0.0099604,           0.0099604
                  42,            0.047267,             0.01834,           0.0019974,             0.66992,             0.81342,             0.67303,             0.38937,            0.049353,            0.014396,           0.0030319,           0.0099594,           0.0099594,           0.0099594
                  43,            0.051978,            0.019706,           0.0018829,              0.6499,             0.73974,             0.77321,             0.39133,            0.048906,            0.013935,           0.0028994,           0.0099584,           0.0099584,           0.0099584
                  44,            0.048386,            0.018674,            0.001937,             0.52522,              0.7735,             0.66827,             0.38713,            0.056665,            0.014733,           0.0028319,           0.0099574,           0.0099574,           0.0099574
                  45,            0.055014,            0.019572,           0.0020701,             0.85745,             0.70833,             0.77753,             0.46893,            0.046165,            0.014324,           0.0027465,           0.0099564,           0.0099564,           0.0099564
                  46,             0.04565,            0.021356,           0.0025335,             0.89574,              0.7335,             0.81432,             0.40957,             0.04966,            0.014736,           0.0026199,           0.0099555,           0.0099555,           0.0099555
                  47,            0.047694,            0.019012,           0.0021056,             0.86289,             0.79924,             0.82389,             0.48286,            0.043999,            0.015023,           0.0027066,           0.0099545,           0.0099545,           0.0099545
                  48,            0.041768,            0.017941,           0.0018449,             0.81378,             0.78409,             0.79882,             0.54464,            0.044943,            0.014673,           0.0026246,           0.0099535,           0.0099535,           0.0099535
                  49,            0.049261,            0.019586,             0.00161,             0.73007,             0.79924,             0.72582,             0.44721,            0.047186,            0.014786,           0.0023803,           0.0099525,           0.0099525,           0.0099525
                  50,            0.046055,            0.019216,           0.0017278,             0.76816,             0.75379,             0.72423,             0.44447,            0.043259,            0.015738,           0.0026698,           0.0099515,           0.0099515,           0.0099515
                  51,            0.040442,            0.017176,           0.0018292,             0.82352,             0.81439,             0.77552,             0.47407,            0.035573,            0.014805,           0.0027224,           0.0099505,           0.0099505,           0.0099505
                  52,            0.035554,            0.018865,           0.0019588,              0.8427,             0.80953,             0.84909,              0.4739,             0.04085,            0.015635,           0.0025612,           0.0099495,           0.0099495,           0.0099495
                  53,            0.051775,            0.019864,           0.0015784,             0.69432,             0.79924,             0.60285,             0.40565,            0.060097,            0.016268,           0.0022844,           0.0099485,           0.0099485,           0.0099485
                  54,             0.06092,            0.019523,           0.0015145,              0.6236,             0.72348,             0.68761,              0.2596,            0.054891,            0.017901,           0.0022669,           0.0099475,           0.0099475,           0.0099475
                  55,            0.050119,            0.020119,           0.0019643,             0.72602,             0.76894,             0.73049,             0.38583,            0.041026,            0.017015,           0.0021873,           0.0099465,           0.0099465,           0.0099465
                  56,            0.040666,             0.01988,           0.0020889,             0.73766,             0.84175,             0.81902,             0.45259,            0.040052,            0.014953,           0.0020769,           0.0099456,           0.0099456,           0.0099456
